topology,iteration,alg,lambda,primal_error,dual_residual,real_primal_residual,real_dual_residual,objective,total_communication,root_communication,maxnodeiters,max_communication,optimal_value
1,0,hADMM,0.0001,14.064937350026064,NaN,NaN,NaN,17844.0,0.0,0.0,69,828,23844.497857298862
1,1,hADMM,0.0001,11.25413161096089,1.2221481353686485,1.2221481353686485,1.9966162247533976,21331.314353816528,28.0,2.0,69,828,23844.497857298862
1,2,hADMM,0.0001,11.044470817304704,1.996422823619393,1.996422823619393,2.993039028403027,27900.953050923592,56.0,4.0,69,828,23844.497857298862
1,3,hADMM,0.0001,8.56734991915531,0.006745606107712687,0.006745606107712687,1.989677217492823,27708.70189370412,84.0,6.0,69,828,23844.497857298862
1,4,hADMM,0.0001,8.116134888055527,0.005625467343927881,0.005625467343927881,0.1274229002776105,27364.12328306068,112.0,8.0,69,828,23844.497857298862
1,5,hADMM,0.0001,7.692013356977717,0.005318755489596372,0.005318755489596372,0.12121340190753593,27042.119991074025,140.0,10.0,69,828,23844.497857298862
1,6,hADMM,0.0001,7.288164892861651,0.00501445580990878,0.00501445580990878,0.11587440897037171,26744.2807523832,168.0,12.0,69,828,23844.497857298862
1,7,hADMM,0.0001,6.897914925369415,0.004735764505419127,0.004735764505419127,0.11092884162710659,26467.589031867963,196.0,14.0,69,828,23844.497857298862
1,8,hADMM,0.0001,6.5223089567954595,0.004473174229228771,0.004473174229228771,0.10614862490060228,26210.88051641742,224.0,16.0,69,828,23844.497857298862
1,9,hADMM,0.0001,6.162800395355164,0.004227680970942949,0.004227680970942949,0.10158860802162528,25972.722377726364,252.0,18.0,69,828,23844.497857298862
1,10,hADMM,0.0001,5.820171821435227,0.003995307498956491,0.003995307498956491,0.09716741251176031,25751.52892587041,280.0,20.0,69,828,23844.497857298862
1,11,hADMM,0.0001,5.512070319563805,0.003775089409113752,0.003775089409113752,0.092880405881272,25547.300680016924,308.0,22.0,69,828,23844.497857298862
1,12,hADMM,0.0001,5.230530450646219,0.003575815703233509,0.003575815703233509,0.08897274615151352,25357.412853604263,336.0,24.0,69,828,23844.497857298862
1,13,hADMM,0.0001,4.9612119708049764,0.003386274630231556,0.003386274630231556,0.08516445726841027,25181.225327186272,364.0,26.0,69,828,23844.497857298862
1,14,hADMM,0.0001,4.703937465207381,0.003207942216889803,0.003207942216889803,0.08151765997948646,25017.782333427745,392.0,28.0,69,828,23844.497857298862
1,15,hADMM,0.0001,4.4585402637602645,0.003040041693364026,0.003040041693364026,0.07802299197853868,24866.190292449453,420.0,30.0,69,828,23844.497857298862
1,16,hADMM,0.0001,4.234975918744915,0.017188135932678872,0.017188135932678872,0.07467272686355853,24754.852339136625,448.0,32.0,69,828,23844.497857298862
1,17,hADMM,0.0001,4.058937661874158,0.06507161601370548,0.06507161601370548,0.05740800345512209,24743.044501074,476.0,34.0,69,828,23844.497857298862
1,18,hADMM,0.0001,3.8731719920413537,0.01937416910804579,0.01937416910804579,0.06160235585755758,24629.876006656523,504.0,36.0,69,828,23844.497857298862
1,19,hADMM,0.0001,3.6979401382069073,0.00352043313830408,0.00352043313830408,0.054823341115598945,24544.74970209328,532.0,38.0,69,828,23844.497857298862
1,20,hADMM,0.0001,3.531782252209653,0.004287526592201996,0.004287526592201996,0.04851079416333093,24488.61796276214,560.0,40.0,69,828,23844.497857298862
1,21,hADMM,0.0001,3.3718521765372413,0.001468338813810366,0.001468338813810366,0.04589715982640086,24441.18652406811,588.0,42.0,69,828,23844.497857298862
1,22,hADMM,0.0001,3.2171477818485683,0.0014159539502829332,0.0014159539502829332,0.04457799928255013,24394.884811164084,616.0,44.0,69,828,23844.497857298862
1,23,hADMM,0.0001,3.0676250854934204,0.0013631364231478926,0.0013631364231478926,0.043173515642906946,24350.11321185161,644.0,46.0,69,828,23844.497857298862
1,24,hADMM,0.0001,2.923331100403636,0.0013053393233588562,0.0013053393233588562,0.04157907705948194,24308.073000050383,672.0,48.0,69,828,23844.497857298862
1,25,hADMM,0.0001,2.7841894332709116,0.0012480584397409622,0.0012480584397409622,0.039978342486830076,24268.974467106586,700.0,50.0,69,828,23844.497857298862
1,26,hADMM,0.0001,2.6500705914015033,0.0011938423188588843,0.0011938423188588843,0.03845174826686826,24232.556636016823,728.0,52.0,69,828,23844.497857298862
1,27,hADMM,0.0001,2.5208509775152983,0.0011426047097120584,0.0011426047097120584,0.03699655933901824,24198.559813281994,756.0,54.0,69,828,23844.497857298862
