Topology,Algorithm,Iteration,Opt_Gap,Tot_Com
1,hADMM,1,227.1344532190716,0
1,hADMM,2,35.01695418896817,56
1,hADMM,3,31.432958683533684,112
1,hADMM,4,1.0840801048059134,168
1,hADMM,5,1.4079218069502324,224
1,hADMM,6,1.1642950263737735,280
1,hADMM,7,0.8282438375023192,336
1,hADMM,8,0.5493772462190076,392
1,hADMM,9,0.3510412932692149,448
1,hADMM,10,0.2195747432249933,504
1,hADMM,11,0.13565028990970052,560
1,hADMM,12,0.08321968812682852,616
1,hADMM,13,0.050875412351932416,672
1,hADMM,14,0.03106449043762786,728
1,hADMM,15,0.018974022193911894,784
1,hADMM,16,0.011604571049701994,840
1,hADMM,17,0.007111266666675161,896
1,hADMM,18,0.004367876930221572,952
1,fADMM,1,227.1344532190716,0
1,fADMM,2,26.330385019725018,82
1,fADMM,3,16.507995023195257,164
1,fADMM,4,19.30147716613593,246
1,fADMM,5,23.115134205487223,328
1,fADMM,6,25.618329305502392,410
1,fADMM,7,27.073458159668295,492
1,fADMM,8,27.882414422718462,574
1,fADMM,9,28.3225339991649,656
1,fADMM,10,28.559082476264102,738
1,fADMM,11,28.685226159693457,820
1,fADMM,12,28.75211025689337,902
1,fADMM,13,28.787407034300323,984
1,fADMM,14,28.805955519542763,1066
1,fADMM,15,28.81566354395509,1148
1,fADMM,16,28.820724474872677,1230
1,fADMM,17,28.823352343410964,1312
2,hADMM,1,224.57960077475119,0
2,hADMM,2,35.15558818296209,56
2,hADMM,3,31.46721527080143,112
2,hADMM,4,0.7630800859106484,168
2,hADMM,5,1.3399853473992687,224
2,hADMM,6,1.2143333664413747,280
2,hADMM,7,0.9197165400419417,336
2,hADMM,8,0.6438671898762447,392
2,hADMM,9,0.4326569692675953,448
2,hADMM,10,0.2840547939153938,504
2,hADMM,11,0.1839472377875211,560
2,hADMM,12,0.11814242135215296,616
2,hADMM,13,0.07550842571105008,672
2,hADMM,14,0.0481253992683556,728
2,hADMM,15,0.030628180878238275,784
2,hADMM,16,0.019480567141601478,840
2,hADMM,17,0.012389173680452205,896
2,hADMM,18,0.007880956025631155,952
2,hADMM,19,0.005015181389156852,1008
2,hADMM,20,0.003193020817371321,1064
2,fADMM,1,224.57960077475119,0
2,fADMM,2,27.017756661805976,78
2,fADMM,3,17.40441954721466,156
2,fADMM,4,19.89667709376034,234
2,fADMM,5,23.23161162290305,312
2,fADMM,6,25.46471131407922,390
2,fADMM,7,26.796576839977167,468
2,fADMM,8,27.554788172581045,546
2,fADMM,9,27.97548089597622,624
2,fADMM,10,28.20511223639458,702
2,fADMM,11,28.329044183399144,780
2,fADMM,12,28.395376625276015,858
